board_id,pin_id
1,38
2,37
3,36
4,35
5,34
6,33
7,32
8,31
9,30
10,29
11,28
12,27
13,26
14,25
15,24
16,23
17,22
18,21
19,20
20,19
21,18
22,17
23,16
24,15
25,14
26,13
27,12
28,11
29,10
30,9
31,8
32,7
33,6
34,5
35,4
36,3
37,2
38,1
1,39
2,40
3,41
4,42
5,43
6,44
7,45
8,46
9,47
10,48
11,49
12,50
13,51
14,52
15,53
16,54
17,55
18,56
19,57
20,58
21,59
22,60
23,61
24,62
25,63
26,64
27,65
28,66
29,67
30,68
31,69
32,70
33,71
34,72
35,73
36,74
37,75
38,76