user_id,pin_id
1,100
2,99
3,98
4,97
5,96
6,95
7,94
8,93
9,92
10,91
11,90
12,89
13,88
14,87
15,86
16,85
17,84
18,83
19,82
20,81
21,80
22,79
23,78
24,77
25,76
26,75
27,74
28,73
29,72
30,71
31,70
32,69
33,68
34,67
35,66
36,65
37,64
38,63
1,62
2,61
3,60
4,59
5,58
6,57
7,56
8,55
9,54
10,53
11,52
12,51
13,50
14,49
15,48
16,47
17,46
18,45
19,44
20,43
21,42
22,41
23,40
24,39
25,38
26,37
27,36
28,35
29,34
30,33
31,32
32,31
33,30
34,29
35,28
36,27
37,26
38,25
1,99
2,98
3,97
4,96
5,95
6,94
7,93
8,92
9,91
10,90
11,89
12,88
13,87
14,86
15,85
16,84
17,83
18,82
19,81
20,80
21,79
22,78
23,77
24,76
25,75
26,74
27,73
28,72
29,71
30,70
31,69
32,68
33,67
34,66
35,65
36,64
37,63
38,62