user_id,interest_id
1,10
2,9
3,8
4,7
5,6
6,5
7,4
8,3
9,2
10,1
11,10
12,9
13,8
14,7
15,6
16,5
17,4
18,3
19,2
20,1
21,10
22,9
23,8
24,7
25,6
26,5
27,4
28,3
29,2
30,1
31,10
32,9
33,8
34,7
35,6
36,5
37,4
38,3
1,9
2,8
3,7
4,6
5,5
6,4
7,3
8,2
9,1
10,10
11,9
12,8
13,7
14,6
15,5
16,4
17,3
18,2
19,1
20,10
21,9
22,8
23,7
24,6
25,5
26,4
27,3
28,2
29,1
30,10
31,9
32,8
33,7
34,6
35,5
36,4
37,3
38,2
1,8
2,7
3,6
4,5
5,4
6,3
7,2
8,1
9,10
10,9
11,8
12,7
13,6
14,5
15,4
16,3
17,2
18,1
19,10
20,9
21,8
22,7
23,6
24,5
25,4
26,3
27,2
28,1
29,10
30,9
31,8
32,7
33,6
34,5
35,4
36,3
37,2
38,1